epoch,loss,accuracy,f1
1,0.454638,0.801798,0.805380
2,0.253689,0.936644,0.937021
3,0.210972,0.960616,0.961247
4,0.184316,0.979024,0.979472
5,0.166462,0.987586,0.987912
6,0.170332,0.983733,0.984114
7,0.161465,0.988870,0.989103
8,0.162425,0.985445,0.985845
9,0.156993,0.987158,0.987490
10,0.151187,0.990582,0.990886
11,0.147690,0.993579,0.993711
12,0.154041,0.990582,0.990818
13,0.137449,0.996575,0.996667
14,0.152497,0.988442,0.988764
15,0.149999,0.992723,0.992896
16,0.144156,0.994863,0.994996
17,0.140349,0.995719,0.995837
18,0.138332,0.997860,0.997914
19,0.141252,0.994007,0.994152
20,0.138435,0.996575,0.996658
21,0.134421,0.997860,0.997914
22,0.138540,0.995719,0.995819
23,0.137246,0.997860,0.997914
24,0.135573,0.997860,0.997916
25,0.134755,0.997003,0.997082
26,0.135635,0.995291,0.995422
27,0.136753,0.997003,0.997080
28,0.131585,0.998288,0.998331
29,0.132098,0.997860,0.997911
30,0.136824,0.997432,0.997494
31,0.135200,0.997860,0.997909
32,0.132234,0.997003,0.997080
33,0.133334,0.997860,0.997914
