epoch,loss,accuracy,f1
1,0.521904,0.746575,0.755170
2,0.346021,0.877140,0.877820
3,0.277209,0.923373,0.923927
4,0.228771,0.949486,0.950253
5,0.204781,0.968750,0.969418
6,0.197316,0.968322,0.969115
7,0.191337,0.973031,0.973673
8,0.193858,0.971747,0.972362
9,0.179613,0.980736,0.981100
10,0.180509,0.978168,0.978759
11,0.172706,0.982449,0.982795
12,0.179562,0.977312,0.977852
13,0.161156,0.988014,0.988314
14,0.169969,0.982449,0.982924
15,0.169387,0.983305,0.983702
16,0.163695,0.987158,0.987542
17,0.159692,0.988014,0.988314
18,0.159004,0.986301,0.986689
19,0.155286,0.990582,0.990833
20,0.155403,0.989298,0.989570
21,0.153186,0.990582,0.990810
22,0.155668,0.990582,0.990772
23,0.151889,0.993151,0.993328
24,0.149133,0.994435,0.994595
25,0.146696,0.992723,0.992908
26,0.145622,0.992723,0.992896
27,0.150348,0.992295,0.992487
28,0.142102,0.996147,0.996248
29,0.143212,0.995291,0.995399
30,0.147374,0.994435,0.994581
