epoch,loss,accuracy,f1
1,0.502156,0.757277,0.764045
2,0.250334,0.940925,0.941919
3,0.203805,0.967894,0.968341
4,0.175984,0.980308,0.980721
5,0.156089,0.991866,0.992067
6,0.156099,0.988870,0.989167
7,0.160150,0.985873,0.986140
8,0.156253,0.986729,0.987067
9,0.150910,0.991010,0.991232
10,0.141673,0.994863,0.995008
11,0.143278,0.995291,0.995399
12,0.147108,0.991866,0.992027
13,0.134755,0.997860,0.997916
14,0.148391,0.993151,0.993333
15,0.140939,0.995291,0.995403
16,0.137090,0.996575,0.996656
17,0.135026,0.997003,0.997085
18,0.132935,0.997860,0.997912
