epoch,loss,accuracy,f1
1,0.434868,0.814640,0.817222
2,0.263090,0.931079,0.932096
3,0.231853,0.951199,0.951736
4,0.210680,0.967038,0.967769
5,0.189242,0.974743,0.975303
6,0.191416,0.967038,0.967983
7,0.181728,0.983305,0.983716
8,0.180375,0.981592,0.982061
9,0.176421,0.982449,0.982867
10,0.170372,0.979452,0.980132
11,0.163866,0.985873,0.986256
12,0.169481,0.981592,0.982031
13,0.153492,0.991010,0.991246
14,0.165816,0.986301,0.986722
15,0.161243,0.987586,0.987891
16,0.162646,0.985017,0.985386
17,0.155407,0.988442,0.988773
18,0.152591,0.992723,0.992908
19,0.152478,0.990154,0.990397
20,0.152193,0.990154,0.990397
21,0.149340,0.992295,0.992494
22,0.151916,0.990154,0.990364
23,0.150124,0.992723,0.992920
24,0.149315,0.993151,0.993344
25,0.143598,0.993579,0.993758
26,0.146534,0.992295,0.992519
27,0.145511,0.994435,0.994581
28,0.140024,0.996147,0.996245
29,0.140473,0.996575,0.996661
30,0.147711,0.990154,0.990413
31,0.142496,0.994435,0.994558
32,0.139109,0.994435,0.994567
33,0.140184,0.996575,0.996669
34,0.142651,0.995719,0.995812
35,0.146594,0.993151,0.993333
36,0.139057,0.996575,0.996664
37,0.141862,0.994007,0.994167
38,0.138809,0.997003,0.997080
39,0.135743,0.997432,0.997498
40,0.139316,0.997432,0.997494
41,0.140287,0.995719,0.995823
42,0.140502,0.996147,0.996242
43,0.140588,0.996147,0.996245
44,0.138252,0.996575,0.996661
