epoch,loss,accuracy,f1
1,0.470173,0.778682,0.784134
2,0.223763,0.952055,0.952502
3,0.171620,0.981164,0.981605
4,0.153187,0.993151,0.993317
5,0.143527,0.996575,0.996667
6,0.142644,0.996147,0.996239
7,0.140602,0.997860,0.997912
8,0.138596,0.997003,0.997085
9,0.136290,0.998288,0.998332
10,0.133942,0.998288,0.998331
11,0.132027,0.999144,0.999165
12,0.135078,0.998288,0.998329
13,0.127958,0.999144,0.999166
14,0.131893,1.000000,1.000000
15,0.130116,0.999572,0.999583
16,0.130508,0.999572,0.999582
17,0.128460,1.000000,1.000000
18,0.128047,1.000000,1.000000
19,0.127799,0.999572,0.999582
20,0.127760,1.000000,1.000000
21,0.127690,0.999144,0.999166
