epoch,loss,accuracy,f1
1,0.355381,0.872126,0.871014
2,0.198537,0.968391,0.968023
3,0.192819,0.974138,0.973913
4,0.185321,0.977730,0.977552
5,0.174993,0.980603,0.980701
6,0.176717,0.979167,0.979211
7,0.173147,0.982040,0.982079
8,0.168043,0.987787,0.987743
9,0.157514,0.992816,0.992826
10,0.166397,0.987787,0.987796
11,0.155903,0.992816,0.992806
12,0.162320,0.987069,0.987124
13,0.167007,0.984914,0.984968
14,0.155406,0.992816,0.992816
15,0.156118,0.994253,0.994261
16,0.155384,0.993534,0.993576
17,0.155337,0.991379,0.991392
18,0.157870,0.992816,0.992867
19,0.154433,0.993534,0.993521
20,0.152690,0.992098,0.992081
21,0.157439,0.990661,0.990681
22,0.157505,0.984914,0.985011
23,0.151462,0.996408,0.996405
24,0.147371,0.996408,0.996416
25,0.153570,0.993534,0.993521
26,0.155342,0.993534,0.993558
27,0.151967,0.990661,0.990734
28,0.144148,0.998563,0.998561
29,0.147051,0.994971,0.994982
