epoch,loss,accuracy,f1
1,0.494634,0.778017,0.780384
2,0.314936,0.907328,0.907127
3,0.274538,0.921695,0.920612
4,0.246179,0.938218,0.938040
5,0.227123,0.951149,0.950796
6,0.217180,0.959770,0.959885
7,0.232767,0.943247,0.942545
8,0.209763,0.961925,0.961622
9,0.199301,0.967672,0.967509
10,0.211375,0.957615,0.957645
11,0.190629,0.971983,0.971678
12,0.204109,0.966236,0.966308
13,0.208521,0.964799,0.964621
14,0.193409,0.970546,0.970735
15,0.192338,0.969828,0.969784
16,0.192763,0.972701,0.972740
17,0.191381,0.975575,0.975610
18,0.197376,0.969109,0.969087
19,0.197103,0.967672,0.967742
20,0.181887,0.980603,0.980590
21,0.182467,0.975575,0.975610
22,0.193983,0.964799,0.964875
