epoch,loss,accuracy,f1
1,0.609515,0.664511,0.666190
2,0.455077,0.844109,0.842867
3,0.390582,0.859914,0.856089
4,0.347893,0.890805,0.889855
5,0.330310,0.890805,0.890014
6,0.309435,0.905172,0.905172
7,0.308015,0.903017,0.902386
8,0.291471,0.912356,0.911722
9,0.265893,0.928161,0.928775
10,0.287713,0.921695,0.921639
11,0.264905,0.931753,0.931109
12,0.273661,0.920259,0.919971
13,0.291096,0.918822,0.918880
14,0.269674,0.926006,0.926795
15,0.264044,0.929598,0.929395
16,0.246026,0.941810,0.941347
17,0.276917,0.923132,0.923517
18,0.247730,0.938937,0.939674
19,0.252019,0.938218,0.938218
20,0.257418,0.924569,0.924515
21,0.260189,0.929598,0.929496
22,0.257299,0.930316,0.931738
23,0.252317,0.938937,0.939329
24,0.238376,0.941810,0.941852
25,0.251060,0.938218,0.937951
26,0.264292,0.936063,0.936017
27,0.238210,0.946839,0.946763
28,0.223219,0.951149,0.950938
29,0.243385,0.945402,0.945559
30,0.248494,0.941092,0.940666
